fID,eID,hidden_layer_neurons,solver,activation_fn,max_Iterations,tolerance
592d3861-42e9-4735-b81a-d01ae6b70dd1,3a93c54c-3524-410d-8868-e36540efba08,"[1000, 20]",lbfgs,tanh,100000,0.001
592d3861-42e9-4735-b81a-d01ae6b70dd1,2e4fed8c-b5ca-4c67-b481-a9f7a8a751e0,[100],lbfgs,relu,100000,0.001
592d3861-42e9-4735-b81a-d01ae6b70dd1,a72a3fec-0286-4edb-ab1f-6262d5c5b035,[200],lbfgs,relu,100000,0.001
592d3861-42e9-4735-b81a-d01ae6b70dd1,3a3045a6-af6e-4d3f-8e4a-824267a8bb3c,[500],lbfgs,relu,100000,0.001
592d3861-42e9-4735-b81a-d01ae6b70dd1,92ffab6a-7fda-4093-893c-99ccf8e03232,[1000],lbfgs,relu,100000,0.001
592d3861-42e9-4735-b81a-d01ae6b70dd1,0197126f-8ede-4833-a2fe-2e946d652df3,"[100, 20]",lbfgs,relu,100000,0.001
592d3861-42e9-4735-b81a-d01ae6b70dd1,d45a6815-9e47-498d-870e-762d9a12fdc2,"[200, 20]",lbfgs,relu,100000,0.001
592d3861-42e9-4735-b81a-d01ae6b70dd1,027666ce-da20-4989-988c-155a08319a58,"[500, 20]",lbfgs,relu,100000,0.001
592d3861-42e9-4735-b81a-d01ae6b70dd1,2767d061-f490-4bbe-a9ac-ba4e476c44f3,"[1000, 20]",lbfgs,relu,100000,0.001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,c4000687-8730-45e3-bd10-9b499b38cea2,[100],lbfgs,tanh,100000,0.0001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,36033d7f-0d80-4a5b-9f7e-8a79f46d3783,[200],lbfgs,tanh,100000,0.0001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,691500d3-5b88-4e9b-9d68-21e37973e967,[500],lbfgs,tanh,100000,0.0001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,46a35752-86b9-4e43-bca1-ab5299bc6468,[1000],lbfgs,tanh,100000,0.0001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,1179aa55-8bfb-4c2e-8e1a-ef6eb1182de9,"[100, 20]",lbfgs,tanh,100000,0.0001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,24885a96-a2a8-4fb0-8c46-07980550ec10,"[200, 20]",lbfgs,tanh,100000,0.0001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,b377fe35-87b6-40d4-bd94-b163584556b9,"[500, 20]",lbfgs,tanh,100000,0.0001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,59dda16e-2000-48e0-8ccd-c8ace941eb2a,"[1000, 20]",lbfgs,tanh,100000,0.0001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,e109fcd5-3ae2-4f56-8f7c-796a6a6f6118,[100],lbfgs,relu,100000,0.0001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,fd426664-dd27-4c79-99f1-13b0487200f8,[200],lbfgs,relu,100000,0.0001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,57732a48-c6c0-4400-8abd-0ec083b94c7e,[500],lbfgs,relu,100000,0.0001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,ee1320b3-1dfa-4637-a0c4-df45cea0578a,[1000],lbfgs,relu,100000,0.0001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,97a900ca-f9a8-462b-860a-47f0d8e977e8,"[100, 20]",lbfgs,relu,100000,0.0001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,28940606-cc58-4ee2-8ec5-f6f345cf3b08,"[200, 20]",lbfgs,relu,100000,0.0001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,15059286-f3f4-43d7-a192-e576e4e5fe65,"[500, 20]",lbfgs,relu,100000,0.0001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,ef340773-f874-42df-8642-3e8051d26812,"[1000, 20]",lbfgs,relu,100000,0.0001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,5b782a89-5bd0-4b1f-bd65-11b849c03fa3,[100],lbfgs,tanh,100000,0.001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,f4e9a149-e959-48b3-8fda-891d1cbf2eb6,[200],lbfgs,tanh,100000,0.001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,d35a8832-3c8d-417c-bb35-b074b84618d7,[500],lbfgs,tanh,100000,0.001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,31b28f11-6e86-4917-8da5-2c6eb7b3fa6c,[1000],lbfgs,tanh,100000,0.001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,d078476d-8cec-418c-aa72-e677bb2018f8,"[100, 20]",lbfgs,tanh,100000,0.001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,f6d55dbc-0871-49aa-9939-ea452e902311,"[200, 20]",lbfgs,tanh,100000,0.001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,87be794e-6345-43db-bb0d-ddb6a1121895,"[500, 20]",lbfgs,tanh,100000,0.001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,1986a768-a0df-42b5-88ad-06d4bb6c7048,"[1000, 20]",lbfgs,tanh,100000,0.001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,188f9745-83f7-40ac-b6cb-6f80e0d45e11,[100],lbfgs,relu,100000,0.001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,200da0b5-b609-4dde-a2ee-a0e8b8fd93ea,[200],lbfgs,relu,100000,0.001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,2c5e6b29-2aae-4c1b-be2a-888e3ed7dd4d,[500],lbfgs,relu,100000,0.001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,1a77cbf5-438b-4330-ab59-ad03fb9c1de6,[1000],lbfgs,relu,100000,0.001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,5ab3e813-544f-4a1b-befd-5e89cd0420bb,"[100, 20]",lbfgs,relu,100000,0.001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,340c2d4c-434a-41d6-8ac0-fcb4a813e64d,"[200, 20]",lbfgs,relu,100000,0.001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,f976b160-8e24-4999-b439-1cd36bba36ff,"[500, 20]",lbfgs,relu,100000,0.001
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,af035f36-48d5-4a27-b30a-e1658d3286f7,"[1000, 20]",lbfgs,relu,100000,0.001
04bd2751-cd1d-4b93-8c39-38dac2829f62,a82197ee-a344-49d6-99ac-3a3a92cff8fc,[100],lbfgs,tanh,100000,0.0001
04bd2751-cd1d-4b93-8c39-38dac2829f62,0c6a7f10-1d7a-43bc-a0e9-5d5f88c991b2,[200],lbfgs,tanh,100000,0.0001
04bd2751-cd1d-4b93-8c39-38dac2829f62,646c67f3-1174-4d8b-96a7-651fbc1ffb3c,[500],lbfgs,tanh,100000,0.0001
04bd2751-cd1d-4b93-8c39-38dac2829f62,2198bd1e-c216-4b27-9c58-9a58044f48cf,[1000],lbfgs,tanh,100000,0.0001
04bd2751-cd1d-4b93-8c39-38dac2829f62,6e172bf8-e7ea-48dc-bd55-377329f681dc,"[100, 20]",lbfgs,tanh,100000,0.0001
04bd2751-cd1d-4b93-8c39-38dac2829f62,acf448c4-842c-4376-9044-e158886dd74b,"[200, 20]",lbfgs,tanh,100000,0.0001
04bd2751-cd1d-4b93-8c39-38dac2829f62,0a2b75dc-7520-48eb-9db0-9f10abd1b5b7,"[500, 20]",lbfgs,tanh,100000,0.0001
04bd2751-cd1d-4b93-8c39-38dac2829f62,61a105fb-1667-4993-bc17-d0e5549cb624,"[1000, 20]",lbfgs,tanh,100000,0.0001
04bd2751-cd1d-4b93-8c39-38dac2829f62,58726207-6ca4-40c6-a778-de085c710a21,[100],lbfgs,relu,100000,0.0001
04bd2751-cd1d-4b93-8c39-38dac2829f62,9b06ef5d-4ce0-45c7-baa5-71cb893fab6c,[200],lbfgs,relu,100000,0.0001
04bd2751-cd1d-4b93-8c39-38dac2829f62,00220a45-bd88-420c-bbea-ad6d3be8b6cb,[500],lbfgs,relu,100000,0.0001
04bd2751-cd1d-4b93-8c39-38dac2829f62,35e73843-13b4-4b07-9aea-322a486d42b8,[1000],lbfgs,relu,100000,0.0001
04bd2751-cd1d-4b93-8c39-38dac2829f62,4fb2c6d6-f003-44fe-bbf2-5efe8bba4c6a,"[100, 20]",lbfgs,relu,100000,0.0001
04bd2751-cd1d-4b93-8c39-38dac2829f62,68b545c4-8f6c-4ba0-8fdb-c099927d8180,"[200, 20]",lbfgs,relu,100000,0.0001
04bd2751-cd1d-4b93-8c39-38dac2829f62,361c1058-aa3a-4da1-bfda-9201de569e32,"[500, 20]",lbfgs,relu,100000,0.0001
04bd2751-cd1d-4b93-8c39-38dac2829f62,1fc95dcf-eed5-474a-aa92-f89fadefaf7c,"[1000, 20]",lbfgs,relu,100000,0.0001
04bd2751-cd1d-4b93-8c39-38dac2829f62,95f538d1-12df-4ec4-8868-929019355c28,[100],lbfgs,tanh,100000,0.001
