fID,eID,trees,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
6e94a052-3571-45ca-b087-35968ee9d3f5,2fff7049-94fc-47ad-8391-52f9bd217641,300,TRUE,None,RF,70000,785,10,0.968825969,0.968825969,0.968825969,0.968825969,0.968476755,0.968472152,0.968508499,137.0853696
6e94a052-3571-45ca-b087-35968ee9d3f5,faea18ec-4320-4940-823c-d0eb981bf74f,400,TRUE,None,RF,70000,785,10,0.969254969,0.969254969,0.969254969,0.969254969,0.968902884,0.968819655,0.969008695,180.4853315
5d26c47e-4481-4a5c-b708-e498944125c1,d6290a06-c3c9-4339-89d2-12bb7b6b918b,100,FALSE,None,RF,2534,73,2,0.941640379,0.244897959,0.666666667,0.15,0.244897959,0.666666667,0.15,0.629828356
5d26c47e-4481-4a5c-b708-e498944125c1,8e93efac-9ba7-4fe6-abdc-6873488615fc,200,FALSE,None,RF,2534,73,2,0.940063091,0.269230769,0.583333333,0.175,0.269230769,0.583333333,0.175,1.127227722
5d26c47e-4481-4a5c-b708-e498944125c1,fce00561-97cc-4c7e-9473-f446ab54021b,300,FALSE,None,RF,2534,73,2,0.941640379,0.244897959,0.666666667,0.15,0.244897959,0.666666667,0.15,1.695907058
5d26c47e-4481-4a5c-b708-e498944125c1,6136ca39-340d-4ef0-acb8-7b3adb9d8d41,400,FALSE,None,RF,2534,73,2,0.940063091,0.24,0.6,0.15,0.24,0.6,0.15,2.261822886
f84330c1-c779-4edf-ba0e-cd1aec7fe66a,1899ffe5-335d-4b6d-9199-610c2dd30fe5,100,FALSE,None,RF,1600,65,100,0.83,0.83,0.83,0.83,0.819341825,0.840757937,0.856988095,0.847435125
f84330c1-c779-4edf-ba0e-cd1aec7fe66a,4f162ecf-6277-4780-a093-219a65dc8c34,200,FALSE,None,RF,1600,65,100,0.8475,0.8475,0.8475,0.8475,0.836629537,0.860198413,0.870119048,1.58208531
f84330c1-c779-4edf-ba0e-cd1aec7fe66a,8c92f2f4-6e9a-4b04-8c3c-9b6e379fd051,300,FALSE,None,RF,1600,65,100,0.825,0.825,0.825,0.825,0.809659396,0.828892857,0.851511905,2.374052192
f84330c1-c779-4edf-ba0e-cd1aec7fe66a,5118e399-ed0f-41ba-94d1-885e697443f7,400,FALSE,None,RF,1600,65,100,0.8475,0.8475,0.8475,0.8475,0.833279165,0.849369048,0.866547619,3.158450502
55d8c4a8-595b-474e-9fbf-f363915435c0,354eac7e-8a07-4ed0-b645-858fae959c82,100,FALSE,None,RF,2600,501,2,0.706153846,0.711915535,0.712990937,0.710843373,0.711915535,0.712990937,0.710843373,2.050166824
55d8c4a8-595b-474e-9fbf-f363915435c0,3e71dfb5-bd64-4852-9237-ed2612301870,200,FALSE,None,RF,2600,501,2,0.721538462,0.734214391,0.716332378,0.753012048,0.734214391,0.716332378,0.753012048,4.015853203
55d8c4a8-595b-474e-9fbf-f363915435c0,e615d4a5-7bd5-4686-9113-0deacdece3c4,300,FALSE,None,RF,2600,501,2,0.736923077,0.750364964,0.728045326,0.774096386,0.750364964,0.728045326,0.774096386,5.976842234
55d8c4a8-595b-474e-9fbf-f363915435c0,672a9b53-d32a-4351-a6c4-4835c0ee1456,400,FALSE,None,RF,2600,501,2,0.72,0.73313783,0.714285714,0.753012048,0.73313783,0.714285714,0.753012048,8.00691872
67183ed1-83d6-4dd1-8694-c83a930908c9,21cad286-c70b-44d9-b675-f3e0ae90ccc4,100,FALSE,None,RF,13910,129,6,0.994249569,0.994249569,0.994249569,0.994249569,0.993783362,0.994749003,0.992878815,7.657314716
67183ed1-83d6-4dd1-8694-c83a930908c9,0d32dcc2-5c27-4e0a-9559-ee5fc37ce6de,200,FALSE,None,RF,13910,129,6,0.994249569,0.994249569,0.994249569,0.994249569,0.993783362,0.994749003,0.992878815,15.12356567
67183ed1-83d6-4dd1-8694-c83a930908c9,6d9b9cd2-13b5-4beb-a5b8-e26c684de304,300,FALSE,None,RF,13910,129,6,0.994249569,0.994249569,0.994249569,0.994249569,0.993800424,0.994658519,0.993000845,22.78640563
67183ed1-83d6-4dd1-8694-c83a930908c9,1ebc3437-d563-4b52-8e4c-5917d4ec72d9,400,FALSE,None,RF,13910,129,6,0.993962047,0.993962047,0.993962047,0.993962047,0.993476332,0.994357779,0.992651439,30.36668078
bdcd7bd6-277d-4d28-bdd0-c1f1636a690b,28699223-8176-4aa1-a2b2-0008450fcd08,100,TRUE,None,RF,10299,562,6,0.980970504,0.980970504,0.980970504,0.980970504,0.980788915,0.980692828,0.981066302,16.97869445
